,target_kcat,abs_pearson
hbond_sc,-0.0057738828005846074,0.0057738828005846074
hbond_sr_bb,0.021084734167582306,0.021084734167582306
fa_elec,0.029712148400557782,0.029712148400557782
rama,0.055184652142588025,0.055184652142588025
omega,0.06532345836009111,0.06532345836009111
yhh_planarity,-0.08121173290770421,0.08121173290770421
fa_sol,0.09999150514584676,0.09999150514584676
hbond_bb_sc,-0.1068006750873185,0.1068006750873185
p_aa_pp,-0.10955918407360846,0.10955918407360846
ref,-0.1657085350327824,0.1657085350327824
fa_rep,0.17227309430643362,0.17227309430643362
hbond_lr_bb,0.18908820315933006,0.18908820315933006
fa_dun,0.21249179499383114,0.21249179499383114
total,-0.28748665134357365,0.28748665134357365
fa_atr,-0.33415679678699134,0.33415679678699134
